Categoria;Cargo;Vantagens;Descontos ;Líquido;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10353;2050;8303;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9455;1803;7652;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;7103;1052;6052;;
VEREADORES;VEREADOR;14635;2988;11647;;
A DISPOSICAO COMISSIONADO;SERVIDOR CSURB DIS.CAMARA;894;71;822;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3313;177;3136;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9746;1883;7864;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;9105;1602;7503;;
ESTATUTARIOS;ASSESSOR JURIDICO;14116;1525;12591;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;650;0;650;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3313;177;3136;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8106;1432;6674;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6833;982;5851;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;3590;202;3388;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
ESTATUTARIOS;ASSISTEN ADMINIST. LEGISLATI;3245;0;3245;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12052;2517;9535;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;10488;2087;8401;;
A DISPOSICAO;SERVIDOR PCR DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5110;563;4547;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;8168;1397;6771;;
A DISPOSICAO;SERVIDOR URB DISP.CAMARA;0;0;0;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6771;1056;5715;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2939;128;2811;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4338;387;3952;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5143;571;4572;;
ESTATUTARIOS;CONSULTOR LEGISLATIVO;10555;1235;9320;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;4687;460;4227;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6197;870;5327;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;6502;965;5537;;
A DISPOSICAO COMISSIONADO;SERVIDOR PCR DISP.CAMARA;894;0;894;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;2673;106;2566;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;12807;2620;10187;;
ESTATUTARIOS;ASSESSOR JURIDICO;11329;1525;9804;;
EXTRA QUADRO;SERVIDOR COMISSIONADO;5265;600;4665;;
